id,application_area,web_surface,meal_production_step,form_key,source_type,source_file,source_path,context,message_key,message_en,message_fr,message_nl,notes,duplicate_group,duplicate_count
UFM-0102,all,form view,,,web app code,src/web/react/components/FormView.tsx,line 3609,missing system-string fallback,src/web/react/components/FormView.tsx:3609:115,Confirm,,,Extracted from web app UI code; review if this surface is still active.,D183,14
UFM-0103,all,form view,,,web app code,src/web/react/components/FormView.tsx,line 3613,missing system-string fallback,src/web/react/components/FormView.tsx:3613:116,OK,,,Extracted from web app UI code; review if this surface is still active.,D008,35
UFM-0104,all,form view,,,web app code,src/web/react/components/FormView.tsx,line 3885,missing system-string fallback,src/web/react/components/FormView.tsx:3885:104,Back,,,Extracted from web app UI code; review if this surface is still active.,D023,12
UFM-0105,all,form view,,,web app code,src/web/react/features/fieldChangeDialog/FieldChangeDialogOverlay.tsx,line 254,nested property aria-label,src/web/react/features/fieldChangeDialog/FieldChangeDialogOverlay.tsx:254:45,Confirmation dialog,,,Extracted from web app UI code; review if this surface is still active.,D201,2
UFM-0106,all,form view,,,web app code,src/web/react/features/fieldChangeDialog/FieldChangeDialogOverlay.tsx,line 295,JSX text,src/web/react/features/fieldChangeDialog/FieldChangeDialogOverlay.tsx:295:58,Required,,,Extracted from web app UI code; review if this surface is still active.,,
UFM-0107,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemBodyFieldRenderer.tsx,line 561,missing system-string fallback,src/web/react/features/lineItems/components/LineItemBodyFieldRenderer.tsx:561:67,Yes,,,Extracted from web app UI code; review if this surface is still active.,D029,17
UFM-0108,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemBodyFieldRenderer.tsx,line 562,missing system-string fallback,src/web/react/features/lineItems/components/LineItemBodyFieldRenderer.tsx:562:66,No,,,Extracted from web app UI code; review if this surface is still active.,D030,16
UFM-0109,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemGroupOverlayPill.tsx,line 117,missing system-string fallback,src/web/react/features/lineItems/components/LineItemGroupOverlayPill.tsx:117:84,Needs attention,,,Extracted from web app UI code; review if this surface is still active.,D018,3
UFM-0110,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemGroupOverlayPortal.tsx,line 196,missing system-string fallback,src/web/react/features/lineItems/components/LineItemGroupOverlayPortal.tsx:196:120,Error,,,Extracted from web app UI code; review if this surface is still active.,D038,2
UFM-0111,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemGroupOverlayPortal.tsx,line 204,JSX text,src/web/react/features/lineItems/components/LineItemGroupOverlayPortal.tsx:204:15,Unable to load line item group editor (missing group configuration for,,,Extracted from web app UI code; review if this surface is still active.,,
UFM-0112,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemGroupOverlayPortal.tsx,line 961,missing system-string fallback,src/web/react/features/lineItems/components/LineItemGroupOverlayPortal.tsx:961:79,No items yet.,,,Extracted from web app UI code; review if this surface is still active.,,
UFM-0113,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemGroupRowsRenderer.tsx,line 1242,missing system-string fallback,src/web/react/features/lineItems/components/LineItemGroupRowsRenderer.tsx:1242:61,Yes,,,Extracted from web app UI code; review if this surface is still active.,D029,17
UFM-0114,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemGroupRowsRenderer.tsx,line 1243,missing system-string fallback,src/web/react/features/lineItems/components/LineItemGroupRowsRenderer.tsx:1243:60,No,,,Extracted from web app UI code; review if this surface is still active.,D030,16
UFM-0115,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemSubgroupFieldRenderer.tsx,line 189,missing system-string fallback,src/web/react/features/lineItems/components/LineItemSubgroupFieldRenderer.tsx:189:71,Yes,,,Extracted from web app UI code; review if this surface is still active.,D029,17
UFM-0116,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemSubgroupFieldRenderer.tsx,line 189,missing system-string fallback,src/web/react/features/lineItems/components/LineItemSubgroupFieldRenderer.tsx:189:111,No,,,Extracted from web app UI code; review if this surface is still active.,D030,16
